#SYMBOL,SYSTEM,MOMENT,ID_DEAL,PRICE_DEAL,VOLUME,OPEN_POS,DIRECTION
EDH1,F,20110111100028190,255224020,1.29500,1,142464,B
RIH1,F,20110111100028283,255224021,178835.00000,1,292556,B
RIH1,F,20110111100028283,255224022,178835.00000,2,292556,B
RIH1,F,20110111100028283,255224023,178840.00000,1,292556,B
RIH1,F,20110111100028283,255224024,178840.00000,1,292556,B
RIH1,F,20110111100028330,255224025,178840.00000,3,292562,S
RIH1,F,20110111100028407,255224026,178845.00000,2,292562,B
GZH1,F,20110111100028487,255224027,19655.00000,1,352528,B
GMH1,F,20110111100028563,255224028,71500.00000,1,15734,S
GMH1,F,20110111100028563,255224029,71500.00000,1,15734,S
GMH1,F,20110111100028563,255224030,71500.00000,1,15734,S
GMH1,F,20110111100028563,255224031,71500.00000,3,15734,S
RIH1,F,20110111100028597,255224032,178840.00000,1,292564,S
RIH1,F,20110111100028610,255224033,178845.00000,3,292564,B
SRH1,F,20110111100028610,255224034,10608.00000,2,649046,S
SRH1,F,20110111100028610,255224035,10607.00000,3,649046,S
RIH1,F,20110111100028627,255224036,178840.00000,1,292568,S
RIH1,F,20110111100028627,255224037,178825.00000,1,292568,S
RIH1,F,20110111100028643,255224038,178845.00000,3,292568,B
SiU5,F,20110111100028673,255224039,38000.00000,5,120166,B
EDH1,F,20110111100028737,255224040,1.29500,3,142458,S
EuH1,F,20110111100028797,255224041,39899.00000,2,124358,B
EuH1,F,20110111100028830,255224042,39896.00000,10,124378,B
SVH1,F,20110111100028847,255224043,29.25000,1,8738,B
EDH1,F,20110111100028877,255224049,1.29540,2,142462,B
SiH1,F,20110111100028893,255224050,30736.00000,2,677990,B
GMH1,F,20110111100029253,255224052,71227.00000,6,15732,S
GMH1,F,20110111100029253,255224053,71226.00000,4,15732,S
GMH1,F,20110111100029253,255224054,71226.00000,1,15732,S
GMH1,F,20110111100029253,255224055,71225.00000,39,15732,S
RIH1,F,20110111100029297,255224056,178850.00000,2,292568,B
EuH1,F,20110111100029423,255224057,39892.00000,10,124398,B
SRH1,F,20110111100029487,255224058,10618.00000,1,649046,B
BRF1,F,20110111100029487,255224059,95.03000,8,60382,S
EuH1,F,20110111100029487,255224060,39896.00000,1,124396,S
EuH1,F,20110111100029487,255224061,39896.00000,1,124392,S
EuH1,F,20110111100029487,255224062,39896.00000,1,124392,S
RIH1,F,20110111100029503,255224063,178820.00000,1,292568,S
RIH1,F,20110111100029503,255224064,178820.00000,4,292568,S
SRH1,F,20110111100029517,255224065,10618.00000,1,649046,B
SRH1,F,20110111100029517,255224066,10618.00000,1,649046,B
EuH1,F,20110111100029517,255224067,39896.00000,1,124392,S
GZH1,F,20110111100029547,255224068,19629.00000,1,352526,S
GZH1,F,20110111100029547,255224069,19628.00000,2,352526,S
GZH1,F,20110111100029547,255224070,19628.00000,2,352526,S
GZH1,F,20110111100029547,255224071,19628.00000,5,352526,S
SiH1,F,20110111100029610,255224073,30733.00000,1,677990,B
EDH1,F,20110111100029643,255224074,1.29540,6,142474,B
EDH1,F,20110111100029643,255224075,1.29540,5,142474,B
SiH1,F,20110111100029657,255224076,30733.00000,6,678002,B
SiH1,F,20110111100029657,255224077,30733.00000,4,678002,B
SiH1,F,20110111100029657,255224078,30753.00000,4,678002,B
EuH1,F,20110111100029753,255224079,39851.00000,5,124392,S
EuH1,F,20110111100029753,255224080,39810.00000,2,124392,S
EuH1,F,20110111100029753,255224081,39809.00000,8,124392,S
SRH1,F,20110111100029847,255224082,10628.00000,1,649046,B
BRF1,F,20110111100029860,255224083,95.03000,3,60382,S
BRF1,F,20110111100029860,255224084,95.02000,3,60382,S
RIH1,F,20110111100029923,255224085,178825.00000,2,292558,S
RIH1,F,20110111100029923,255224086,178825.00000,2,292558,S
RIH1,F,20110111100029923,255224087,178825.00000,1,292558,S
RIH1,F,20110111100030017,255224088,178845.00000,4,292566,B
RIH1,F,20110111100030017,255224089,178850.00000,1,292566,B
EuH1,F,20110111100030173,255224090,39923.00000,1,124394,B
EDH1,F,20110111100030237,255224091,1.29540,1,142474,B
SiH1,F,20110111100030253,255224092,30740.00000,2,678002,B
RIH1,F,20110111100030377,255224093,178850.00000,1,292566,B
RIH1,F,20110111100030457,255224094,178850.00000,7,292622,B
RIH1,F,20110111100030457,255224095,178850.00000,2,292622,B
